week,matchup,spread_line_home,score,tier,pick,outcome,final
3,MIA @ BUF,12.5,7,LEAN,away,WON,21-31
3,ATL @ CAR,-5.5,3,LEAN,home,WON,0-30
3,GB @ CLE,-8.5,3,LEAN,home,WON,10-13
3,HOU @ JAX,1.5,3.99,LEAN,home,WON,10-17
3,CIN @ MIN,3.0,7,LEAN,away,LOST,10-48
3,PIT @ NE,-1.5,3,LEAN,home,LOST,21-14
3,LA @ PHI,3.5,6.91,LEAN,away,LOST,26-33
3,NYJ @ TB,6.5,7,LEAN,away,WON,27-29
3,IND @ TEN,-6.0,3,LEAN,home,LOST,41-20
3,NO @ SEA,7.5,7,LEAN,away,LOST,13-44
3,KC @ NYG,-6.0,3,LEAN,home,LOST,22-9
3,DET @ BAL,4.5,6.47,LEAN,away,WON,38-30
4,SEA @ ARI,-1.5,3,LEAN,home,LOST,23-20
4,MIN @ PIT,-2.5,3,LEAN,home,WON,21-24
4,WAS @ ATL,2.5,6.7,LEAN,away,LOST,27-34
4,NO @ BUF,15.5,7,LEAN,away,WON,19-31
4,CLE @ DET,10.0,7,LEAN,away,LOST,10-34
4,TEN @ HOU,7.5,7,LEAN,away,LOST,0-26
4,CAR @ NE,5.5,6.96,LEAN,away,LOST,13-42
4,LAC @ NYG,-6.0,3,LEAN,home,WON,18-21
4,PHI @ TB,-3.5,3,LEAN,home,LOST,31-25
4,IND @ LA,3.5,7,LEAN,away,LOST,20-27
4,JAX @ SF,3.5,6.33,LEAN,away,WON,26-21
4,BAL @ KC,-2.5,3.12,LEAN,home,WON,20-37
4,GB @ DAL,-7.0,3,LEAN,home,WON,40-40
4,CIN @ DEN,7.5,7,LEAN,away,LOST,3-28
5,SF @ LA,8.5,7,LEAN,away,WON,26-23
5,MIN @ CLE,-3.5,3,LEAN,home,LOST,21-17
5,HOU @ BAL,-2.5,3,LEAN,home,LOST,44-10
5,MIA @ CAR,-1.5,3.76,LEAN,home,WON,24-27
5,LV @ IND,7.0,6.56,LEAN,away,LOST,6-40
5,DEN @ PHI,3.5,6.65,LEAN,away,WON,21-17
5,TEN @ ARI,7.5,7,LEAN,away,WON,22-21
5,TB @ SEA,3.5,6.36,LEAN,away,WON,38-35
5,DET @ CIN,-10.5,3,LEAN,home,LOST,37-24
5,WAS @ LAC,2.5,6.23,LEAN,away,WON,27-10
5,NE @ BUF,7.5,7,LEAN,away,WON,23-20
5,KC @ JAX,-3.5,3,LEAN,home,WON,28-31
6,PHI @ NYG,-7.0,3,LEAN,home,WON,17-34
6,DEN @ NYJ,-7.5,3,LEAN,home,WON,13-11
6,LA @ BAL,-7.0,3,LEAN,home,LOST,17-3
6,DAL @ CAR,-3.0,3.39,LEAN,home,WON,27-30
6,ARI @ IND,8.5,7,LEAN,away,WON,27-31
6,SEA @ JAX,-1.5,3.52,LEAN,home,LOST,20-12
6,LAC @ MIA,-3.5,3,LEAN,home,WON,29-27
6,NE @ NO,-3.5,3,LEAN,home,LOST,25-19
6,CLE @ PIT,5.5,6.36,LEAN,away,LOST,9-23
6,CIN @ GB,14.0,7,LEAN,away,WON,18-27
6,BUF @ ATL,-3.5,3,LEAN,home,WON,14-24
6,CHI @ WAS,5.5,6.67,LEAN,away,WON,25-24
7,PIT @ CIN,-5.5,3,LEAN,home,WON,31-33
7,LA @ JAX,-3.0,3,LEAN,home,LOST,35-7
7,NO @ CHI,4.5,6.68,LEAN,away,LOST,14-26
7,MIA @ CLE,2.5,7,LEAN,away,LOST,6-31
7,LV @ KC,13.5,7,LEAN,away,LOST,0-31
7,PHI @ MIN,-2.5,3,LEAN,home,LOST,28-22
7,NE @ TEN,-6.5,3,LEAN,home,LOST,31-13
7,NYG @ DEN,7.5,7,LEAN,away,WON,32-33
7,IND @ LAC,2.5,7,LEAN,away,WON,38-24
7,GB @ ARI,-7.0,3,LEAN,home,WON,27-23
7,TB @ DET,6.0,7,LEAN,away,LOST,9-24
8,MIA @ ATL,7.0,7,LEAN,away,WON,34-10
8,BUF @ CAR,-7.0,3,LEAN,home,LOST,40-9
8,NYJ @ CIN,5.5,7,LEAN,away,WON,39-38
8,CLE @ NE,7.0,6.49,LEAN,away,LOST,13-32
8,NYG @ PHI,7.0,7,LEAN,away,LOST,20-38
8,TB @ NO,-4.5,3,LEAN,home,LOST,23-3
8,DAL @ DEN,3.5,7,LEAN,away,LOST,24-44
8,TEN @ IND,15.5,7,LEAN,away,LOST,14-38
8,GB @ PIT,-3.0,3,LEAN,home,LOST,35-25
8,WAS @ KC,10.5,7,LEAN,away,LOST,7-28
9,BAL @ MIA,-7.5,3,LEAN,home,LOST,28-6
9,CHI @ CIN,-3.0,3,LEAN,home,LOST,47-42
9,MIN @ DET,9.5,7,LEAN,away,WON,27-24
9,CAR @ GB,12.5,7,LEAN,away,WON,16-13
9,ATL @ NE,5.5,6.55,LEAN,away,WON,23-24
9,SF @ NYG,-2.5,3,LEAN,home,LOST,34-24
9,IND @ PIT,-3.5,3,LEAN,home,WON,20-27
9,LAC @ TEN,-10.0,3,LEAN,home,WON,27-20
9,NO @ LA,14.0,7,LEAN,away,LOST,10-34
9,JAX @ LV,-2.5,3.58,LEAN,home,WON,30-29
9,KC @ BUF,-2.5,3,LEAN,home,WON,21-28
9,SEA @ WAS,-2.5,3,LEAN,home,LOST,38-14
10,LV @ DEN,9.5,7,LEAN,away,WON,7-10
10,ATL @ IND,6.5,6.54,LEAN,away,WON,25-31
10,NO @ CAR,5.5,6.98,LEAN,away,WON,17-7
10,NYG @ CHI,4.5,6.27,LEAN,away,WON,20-24
10,JAX @ HOU,-1.5,3.06,LEAN,home,WON,29-36
10,BUF @ MIA,-8.5,3,LEAN,home,WON,13-30
10,BAL @ MIN,-4.5,3,LEAN,home,LOST,27-19
