season,week,matchup,spread_line_home,score,tier,pick,outcome,final
2020,3,MIA @ JAX,3.0,3.52,LEAN,home,LOST,31-13
2020,3,CHI @ ATL,2.5,7,LEAN,away,WON,30-26
2020,3,WAS @ CLE,7.5,7,LEAN,away,LOST,20-34
2020,3,TEN @ MIN,-3.0,3.09,LEAN,home,WON,31-30
2020,3,LV @ NE,7.0,7,LEAN,away,LOST,20-36
2020,3,SF @ NYG,-3.0,3.89,LEAN,home,LOST,36-9
2020,3,CIN @ PHI,5.5,7,LEAN,away,WON,23-23
2020,3,NYJ @ IND,12.5,7,LEAN,away,LOST,7-36
2020,3,CAR @ LAC,6.0,7,LEAN,away,WON,21-16
2020,3,TB @ DEN,-6.0,3,LEAN,home,LOST,28-10
2020,3,DAL @ SEA,5.5,6.61,LEAN,away,LOST,31-38
2020,3,GB @ NO,3.5,7,LEAN,away,WON,37-30
2020,4,ARI @ CAR,-3.0,3.2,LEAN,home,WON,21-31
2020,4,CLE @ DAL,3.5,6.35,LEAN,away,WON,49-38
2020,4,NO @ DET,-3.0,3.04,LEAN,home,LOST,35-29
2020,4,MIN @ HOU,3.5,6.72,LEAN,away,WON,31-23
2020,4,SEA @ MIA,-4.5,3,LEAN,home,LOST,31-23
2020,4,LAC @ TB,7.5,7,LEAN,away,WON,31-38
2020,4,BAL @ WAS,-14.5,3,LEAN,home,WON,31-17
2020,4,NYG @ LA,13.5,7,LEAN,away,WON,9-17
2020,4,IND @ CHI,-3.5,3,LEAN,home,LOST,19-11
2020,4,BUF @ LV,-3.0,3,LEAN,home,LOST,30-23
2020,4,PHI @ SF,8.5,6.44,LEAN,away,WON,25-20
2020,4,NE @ KC,7.0,7,LEAN,away,LOST,10-26
2020,5,TB @ CHI,-3.5,3,LEAN,home,WON,19-20
2020,5,CAR @ ATL,2.5,6.89,LEAN,away,WON,23-16
2020,5,CIN @ BAL,12.5,7,LEAN,away,LOST,3-27
2020,5,JAX @ HOU,6.5,7,LEAN,away,LOST,14-30
2020,5,LV @ KC,11.0,7,LEAN,away,WON,40-32
2020,5,ARI @ NYJ,-7.0,3,LEAN,home,LOST,30-10
2020,5,PHI @ PIT,7.5,7,LEAN,away,LOST,29-38
2020,5,LA @ WAS,-7.0,3,LEAN,home,LOST,30-10
2020,5,MIA @ SF,8.5,6.93,LEAN,away,WON,43-17
2020,5,NYG @ DAL,7.5,7,LEAN,away,WON,34-37
2020,5,MIN @ SEA,6.5,7,LEAN,away,WON,26-27
2020,5,LAC @ NO,7.0,7,LEAN,away,WON,27-30
2020,5,BUF @ TEN,-3.0,3,LEAN,home,WON,16-42
2020,6,CIN @ IND,7.5,6.9,LEAN,away,WON,27-31
2020,6,DET @ JAX,-3.0,3,LEAN,home,LOST,34-16
2020,6,DEN @ NE,7.0,7,LEAN,away,WON,18-12
2020,6,BAL @ PHI,-10.5,3,LEAN,home,WON,30-28
2020,6,NYJ @ MIA,9.5,7,LEAN,away,LOST,0-24
2020,6,GB @ TB,-3.0,3,LEAN,home,WON,10-38
2020,6,KC @ BUF,-5.5,3,LEAN,home,LOST,26-17
2020,6,ARI @ DAL,1.0,6.05,LEAN,away,WON,38-10
2020,7,NYG @ PHI,5.0,6.94,LEAN,away,WON,21-22
2020,7,CLE @ CIN,-4.5,3,LEAN,home,WON,37-34
2020,7,GB @ HOU,-2.5,3.44,LEAN,home,LOST,35-20
2020,7,CAR @ NO,7.0,7,LEAN,away,WON,24-27
2020,7,BUF @ NYJ,-9.5,3,LEAN,home,WON,18-10
2020,7,DAL @ WAS,-1.0,3.29,LEAN,home,WON,3-25
2020,7,TB @ LV,-3.5,3.61,LEAN,home,LOST,45-20
2020,7,KC @ DEN,-7.0,3,LEAN,home,LOST,43-16
2020,7,JAX @ LAC,8.0,7,LEAN,away,LOST,29-39
2020,7,SF @ NE,3.0,6.3,LEAN,away,WON,33-6
2020,7,SEA @ ARI,-3.5,3,LEAN,home,WON,34-37
2020,7,CHI @ LA,6.5,6.88,LEAN,away,LOST,10-24
2020,8,PIT @ BAL,4.0,6.9,LEAN,away,WON,28-24
2020,8,TEN @ CIN,-7.5,3,LEAN,home,WON,20-31
2020,8,LV @ CLE,1.0,3.93,LEAN,home,LOST,16-6
2020,8,IND @ DET,-3.5,3.2,LEAN,home,LOST,41-21
2020,8,MIN @ GB,5.5,6.79,LEAN,away,WON,28-22
2020,8,NYJ @ KC,20.0,7,LEAN,away,LOST,9-35
2020,8,LA @ MIA,-3.5,3.22,LEAN,home,WON,17-28
2020,8,LAC @ DEN,-3.0,3.46,LEAN,home,WON,30-31
2020,8,NO @ CHI,-5.5,3,LEAN,home,WON,26-23
2020,8,DAL @ PHI,10.0,7,LEAN,away,LOST,9-23
2020,8,TB @ NYG,-13.0,3,LEAN,home,WON,25-23
